City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,yerba buena,-26.8167,-65.3167,24.63,69,100,5.11,AR,1707371476
82,sarupathar,26.1984,93.8094,22.12,55,6,1.84,IN,1707371733
83,margaret river,-33.95,115.0667,25.82,47,0,3.19,AU,1707371655
84,divnogorsk,55.9594,92.3619,-11.73,79,90,1.81,RU,1707371670
85,kosh-agach,50.0,88.6667,-15.94,81,89,1.79,RU,1707371734
86,pundong,-7.9522,110.3486,29.96,66,28,3.3,ID,1707371734
87,iskateley,67.6803,53.1512,-13.32,95,100,4.92,RU,1707371647
88,timaru,-44.4,171.25,18.93,42,32,3.58,NZ,1707371562
89,west island,-12.1568,96.8225,27.99,89,75,5.14,CC,1707371617
90,badagry,6.4167,2.8833,23.3,62,14,0.42,NG,1707371735
91,big bear city,34.2611,-116.845,-1.06,94,100,3.6,US,1707371735
92,cananeia,-25.0147,-47.9267,23.82,91,67,0.37,BR,1707371736
93,severo-yeniseyskiy,60.3725,93.0408,-5.47,94,99,0.69,RU,1707371736
94,pahrump,36.2083,-115.9839,8.03,74,99,5.81,US,1707371736
95,laascaanood,8.4774,47.3597,22.25,63,59,8.28,SO,1707371737
96,aykhal,66.0,111.5,-23.0,96,100,2.05,RU,1707371688
97,antsiranana,-12.2787,49.2917,28.93,75,76,2.69,MG,1707371624
98,san fernando,15.0286,120.6898,31.85,33,16,1.27,PH,1707371738
99,lethem,3.3803,-59.7968,28.18,57,49,4.02,GY,1707371671
100,college,64.8569,-147.8028,-21.62,76,40,0.0,US,1707371665
101,hadibu,12.65,54.0333,26.67,66,99,6.58,YE,1707371738
102,bilibino,68.0546,166.4372,-33.56,99,99,0.31,RU,1707371646
103,ushuaia,-54.8,-68.3,7.81,71,75,2.06,AR,1707371739
104,queenstown,-31.8976,26.8753,17.37,72,34,1.42,ZA,1707371739
105,aberdeen,57.1437,-2.0981,-4.73,86,8,1.54,GB,1707371739
106,rikaze,29.25,88.8833,5.15,8,0,3.19,CN,1707371740
107,dudinka,69.4058,86.1778,-26.85,97,25,1.79,RU,1707371619
108,chibougamau,49.9168,-74.3659,-3.21,93,100,1.54,CA,1707371740
109,wladyslawowo,54.7909,18.4009,-1.7,76,71,4.03,PL,1707371740
110,usogorsk,63.4106,48.6872,-11.3,95,100,3.86,RU,1707371741
111,papatowai,-46.5619,169.4708,12.43,79,30,6.71,NZ,1707371604
112,broome,42.2506,-75.833,2.87,78,58,0.99,US,1707371741
113,ulundi,-28.3352,31.4162,21.76,89,97,1.14,ZA,1707371742
114,ismailia,30.6043,32.2723,9.04,81,40,2.57,EG,1707371742
115,hamilton,39.1834,-84.5333,9.47,56,0,4.12,US,1707371393
116,prairie grove,35.9759,-94.3177,14.01,47,100,1.34,US,1707371743
117,thompson,55.7435,-97.8558,-14.91,85,100,4.12,CA,1707371611
118,mount gambier,-37.8333,140.7667,20.58,49,0,5.46,AU,1707371667
119,haiku-pauwela,20.9219,-156.3051,22.25,70,20,7.2,US,1707371689
120,el calafate,-50.3408,-72.2768,8.16,79,68,5.79,AR,1707371682
121,siaya,0.0612,34.2882,23.26,56,2,2.3,KE,1707371744
122,hirara,24.8,125.2833,20.15,77,75,8.75,JP,1707371487
123,bangui,4.3612,18.555,19.1,82,32,1.03,CF,1707371622
124,anadyr,64.75,177.4833,-15.72,84,100,8.0,RU,1707371613
125,olonkinbyen,70.9221,-8.7187,-2.96,50,80,6.86,SJ,1707371649
126,puerto natales,-51.7236,-72.4875,8.92,74,86,7.3,CL,1707371643
127,lauro de freitas,-12.8944,-38.3272,27.01,83,40,1.03,BR,1707371459
128,tiksi,71.6872,128.8694,-21.15,100,100,2.25,RU,1707371675
129,udachny,66.4167,112.4,-25.31,75,99,1.44,RU,1707371657
130,fale old settlement,-9.3852,-171.2468,27.91,83,98,7.75,TK,1707371746
131,nadym,65.5333,72.5167,-6.89,86,100,7.83,RU,1707371747
132,tazovsky,67.4667,78.7,-6.11,95,100,5.67,RU,1707371689
133,marica,-22.9194,-42.8186,26.95,90,100,1.19,BR,1707371636
134,sidi akkacha,36.4647,1.3026,9.16,51,6,3.39,DZ,1707371747
135,fukushima,37.75,140.4678,9.64,56,81,3.35,JP,1707371569
136,pandan,14.0453,124.1694,27.8,71,9,1.98,PH,1707371697
137,acapulco de juarez,16.8634,-99.8901,25.9,78,0,1.54,MX,1707371460
